,cylinders,displacement,horsepower,weight,acceleration,cylinders^2,displacement^2,horsepower^2,weight^2,acceleration^2
352,4,98.0,65.0,2380,20.7,16,9604.0,4225.0,5664400,428.48999999999995
353,4,105.0,74.0,2190,14.2,16,11025.0,5476.0,4796100,201.64
355,4,107.0,75.0,2210,14.4,16,11449.0,5625.0,4884100,207.36
356,4,108.0,75.0,2350,16.8,16,11664.0,5625.0,5522500,282.24
357,4,119.0,100.0,2615,14.8,16,14161.0,10000.0,6838225,219.04000000000002
358,4,120.0,74.0,2635,18.3,16,14400.0,5476.0,6943225,334.89000000000004
359,4,141.0,80.0,3230,20.4,16,19881.0,6400.0,10432900,416.15999999999997
360,6,145.0,76.0,3160,19.6,36,21025.0,5776.0,9985600,384.1600000000001
361,6,168.0,116.0,2900,12.6,36,28224.0,13456.0,8410000,158.76
362,6,146.0,120.0,2930,13.8,36,21316.0,14400.0,8584900,190.44000000000003
363,6,231.0,110.0,3415,15.8,36,53361.0,12100.0,11662225,249.64000000000001
364,8,350.0,105.0,3725,19.0,64,122500.0,11025.0,13875625,361.0
365,6,200.0,88.0,3060,17.1,36,40000.0,7744.0,9363600,292.41
366,6,225.0,85.0,3465,16.6,36,50625.0,7225.0,12006225,275.56000000000006
367,4,112.0,88.0,2605,19.6,16,12544.0,7744.0,6786025,384.1600000000001
368,4,112.0,88.0,2640,18.6,16,12544.0,7744.0,6969600,345.96000000000004
369,4,112.0,88.0,2395,18.0,16,12544.0,7744.0,5736025,324.0
370,4,112.0,85.0,2575,16.2,16,12544.0,7225.0,6630625,262.44
371,4,135.0,84.0,2525,16.0,16,18225.0,7056.0,6375625,256.0
372,4,151.0,90.0,2735,18.0,16,22801.0,8100.0,7480225,324.0
373,4,140.0,92.0,2865,16.4,16,19600.0,8464.0,8208225,268.96
375,4,105.0,74.0,1980,15.3,16,11025.0,5476.0,3920400,234.09000000000003
376,4,91.0,68.0,2025,18.2,16,8281.0,4624.0,4100625,331.23999999999995
377,4,91.0,68.0,1970,17.6,16,8281.0,4624.0,3880900,309.76000000000005
378,4,105.0,63.0,2125,14.7,16,11025.0,3969.0,4515625,216.08999999999997
379,4,98.0,70.0,2125,17.3,16,9604.0,4900.0,4515625,299.29
380,4,120.0,88.0,2160,14.5,16,14400.0,7744.0,4665600,210.25
381,4,107.0,75.0,2205,14.5,16,11449.0,5625.0,4862025,210.25
382,4,108.0,70.0,2245,16.9,16,11664.0,4900.0,5040025,285.60999999999996
383,4,91.0,67.0,1965,15.0,16,8281.0,4489.0,3861225,225.0
384,4,91.0,67.0,1965,15.7,16,8281.0,4489.0,3861225,246.48999999999998
385,4,91.0,67.0,1995,16.2,16,8281.0,4489.0,3980025,262.44
386,6,181.0,110.0,2945,16.4,36,32761.0,12100.0,8673025,268.96
387,6,262.0,85.0,3015,17.0,36,68644.0,7225.0,9090225,289.0
388,4,156.0,92.0,2585,14.5,16,24336.0,8464.0,6682225,210.25
389,6,232.0,112.0,2835,14.7,36,53824.0,12544.0,8037225,216.08999999999997
390,4,144.0,96.0,2665,13.9,16,20736.0,9216.0,7102225,193.21
391,4,135.0,84.0,2370,13.0,16,18225.0,7056.0,5616900,169.0
392,4,151.0,90.0,2950,17.3,16,22801.0,8100.0,8702500,299.29
393,4,140.0,86.0,2790,15.6,16,19600.0,7396.0,7784100,243.35999999999999
394,4,97.0,52.0,2130,24.6,16,9409.0,2704.0,4536900,605.1600000000001
395,4,135.0,84.0,2295,11.6,16,18225.0,7056.0,5267025,134.56
396,4,120.0,79.0,2625,18.6,16,14400.0,6241.0,6890625,345.96000000000004
397,4,119.0,82.0,2720,19.4,16,14161.0,6724.0,7398400,376.35999999999996
